participant_id,n_items,n_appropriate,n_inappropriate,max_observed_run,same_word_gap_requested,same_word_gap_used,same_word_gap_violations,attempts,status
sim-0001,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0002,40,20,20,2,8,8,0,27,requested_constraints_satisfied
sim-0003,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0004,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0005,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0006,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0007,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0008,40,20,20,2,8,8,0,43,requested_constraints_satisfied
sim-0009,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0010,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0011,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0012,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0013,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0014,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0015,40,20,20,2,8,8,0,50,requested_constraints_satisfied
sim-0016,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0017,40,20,20,2,8,8,0,8,requested_constraints_satisfied
sim-0018,40,20,20,2,8,8,0,23,requested_constraints_satisfied
sim-0019,40,20,20,2,8,8,0,19,requested_constraints_satisfied
sim-0020,40,20,20,2,8,8,0,42,requested_constraints_satisfied
sim-0021,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0022,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0023,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0024,40,20,20,2,8,8,0,8,requested_constraints_satisfied
sim-0025,40,20,20,2,8,8,0,42,requested_constraints_satisfied
sim-0026,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0027,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0028,40,20,20,2,8,8,0,40,requested_constraints_satisfied
sim-0029,40,20,20,2,8,8,0,15,requested_constraints_satisfied
sim-0030,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0031,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0032,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0033,40,20,20,2,8,8,0,18,requested_constraints_satisfied
sim-0034,40,20,20,2,8,8,0,51,requested_constraints_satisfied
sim-0035,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0036,40,20,20,2,8,8,0,23,requested_constraints_satisfied
sim-0037,40,20,20,2,8,8,0,21,requested_constraints_satisfied
sim-0038,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0039,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0040,40,20,20,2,8,8,0,31,requested_constraints_satisfied
sim-0041,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0042,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0043,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0044,40,20,20,2,8,8,0,13,requested_constraints_satisfied
sim-0045,40,20,20,2,8,8,0,30,requested_constraints_satisfied
